path,suffix,rows,columns,read_seconds,memory_mb,error
reports\roles\role_variable_inventory.csv,.csv,59.0,1.0,0.008837,0.004,
reports\roles\role_representatives.csv,.csv,180.0,12.0,0.008766,0.081,
reports\sprint_13a1\xgboost\feature_importance\tuned_random_forest_feature_importance.csv,.csv,31.0,2.0,0.008742,0.003,
reports\data_quality\tm6_5_14\player_profile_validation_sample_top20.csv,.csv,20.0,10.0,0.008738,0.008,
reports\sprint_13b\econometric\vif_model_b.csv,.csv,20.0,2.0,0.00873,0.002,
reports\sprint_13a1\econometric\03_econometric_model_coefficients.csv,.csv,18.0,6.0,0.008716,0.002,
reports\sprint_13b\econometric\vif_advanced_features_model_b.csv,.csv,3.0,2.0,0.008712,0.0,
reports\roles\position_taxonomy_validation_v2b.csv,.csv,25.0,8.0,0.008673,0.013,
reports\sprint_13b\ml\feature_importance_rf_v13b.csv,.csv,11.0,7.0,0.008664,0.003,
reports\sprint_13b\ml\feature_importance_lightgbm_v13b.csv,.csv,11.0,7.0,0.008661,0.003,
reports\portfolio\portfolio_dataset_summary.csv,.csv,7.0,2.0,0.008623,0.001,
reports\sprint_13b\econometric\03_strict_matching_metrics.csv,.csv,1.0,6.0,0.008577,0.0,
reports\sprint_13a1\econometric\03_econometric_model_metrics.csv,.csv,8.0,6.0,0.008535,0.001,
reports\tables\explainability\feature_importance_comparison_top10.csv,.csv,10.0,2.0,0.008534,0.001,
reports\roles\role_explainability_feature_coverage.csv,.csv,8.0,6.0,0.00852,0.002,
reports\tables\03_undervalued_ranking.csv,.csv,50.0,18.0,0.0085,0.021,
reports\roles\universal_role_model_report.csv,.csv,1.0,7.0,0.008449,0.0,
reports\data_quality\tm7_snapshot_authority_audit.csv,.csv,1.0,9.0,0.008434,0.0,
reports\sprint_13a1\xgboost\feature_importance\tuned_lightgbm_feature_importance.csv,.csv,31.0,2.0,0.008422,0.003,
reports\portfolio\scenarios\scenario_simulation_summary.csv,.csv,3.0,15.0,0.008337,0.002,
reports\sprint_13b\productive\ml_model_comparison_test_v13b.csv,.csv,4.0,16.0,0.008288,0.001,
reports\tables\02_baseline_undervalued_ranking.csv,.csv,25.0,18.0,0.008219,0.012,
reports\tables\03_econometric_model_vif.csv,.csv,16.0,2.0,0.008213,0.001,
reports\tables\01_dataset_summary.csv,.csv,2.0,6.0,0.00815,0.0,
reports\sprint_13b\ml\advanced_features_importance_summary_v13b.csv,.csv,9.0,6.0,0.007967,0.002,
reports\roles\position_taxonomy_distribution_v2.csv,.csv,8.0,3.0,0.007954,0.001,
reports\sprint_13a1\xgboost\feature_importance\tuned_xgboost_feature_importance.csv,.csv,31.0,2.0,0.007947,0.003,
reports\sprint_13a1\ml\04_ml_permutation_importance.csv,.csv,8.0,3.0,0.007942,0.001,
reports\tm3_contract_audit\contract_coverage_by_league.csv,.csv,0.0,4.0,0.007893,0.0,
reports\tm3_contract_intelligence\contract_status_distribution.csv,.csv,5.0,2.0,0.007761,0.001,
reports\roles\universal_role_distribution.csv,.csv,4.0,7.0,0.007731,0.001,
reports\sprint_13a1\ml\04_ml_inefficiency_by_position.csv,.csv,4.0,9.0,0.007682,0.001,
